phase,seconds,frame,details
mesh_load,0.014392,,C:\Users\ericv\OneDrive\Documents\UNIF\Q6\Elements finis\projet\FEM-project\models\perf\perf_2d_middle.msh;dim=2
system_assembly,0.998207,,nodes=779;elements=1464;dim=2
vertical_air_transfer_prepare,0.000046,,enabled=False;attenuation=0.25;radius=0.0
initial_conditions,0.000056,,src_x=0.0;src_y=0.0;src_z=0.0;src_radius=0.05;src_temp=800.0
animation_figure,0.055885,,
frame_calculation,0.003121,0,sim_time=50.00000
frame_calculation,0.002717,1,sim_time=100.00000
frame_calculation,0.002711,2,sim_time=150.00000
frame_calculation,0.003737,3,sim_time=200.00000
frame_calculation,0.003126,4,sim_time=250.00000
frame_calculation,0.002611,5,sim_time=300.00000
frame_calculation,0.002527,6,sim_time=350.00000
frame_calculation,0.002656,7,sim_time=400.00000
frame_calculation,0.002923,8,sim_time=450.00000
frame_calculation,0.004066,9,sim_time=500.00000
frame_calculation,0.004480,10,sim_time=550.00000
frame_calculation,0.002946,11,sim_time=600.00000
frame_calculation,0.003724,12,sim_time=650.00000
frame_calculation,0.003148,13,sim_time=700.00000
frame_calculation,0.003335,14,sim_time=750.00000
frame_calculation,0.002948,15,sim_time=800.00000
frame_calculation,0.003343,16,sim_time=850.00000
frame_calculation,0.003065,17,sim_time=900.00000
frame_calculation,0.002784,18,sim_time=950.00000
frame_calculation,0.004482,19,sim_time=1000.00000
frame_calculation,0.004220,20,sim_time=1050.00000
frame_calculation,0.003530,21,sim_time=1100.00000
frame_calculation,0.002783,22,sim_time=1150.00000
frame_calculation,0.005824,23,sim_time=1200.00000
frame_calculation,0.003684,24,sim_time=1250.00000
frame_calculation,0.002750,25,sim_time=1300.00000
frame_calculation,0.002687,26,sim_time=1350.00000
frame_calculation,0.002865,27,sim_time=1400.00000
frame_calculation,0.003674,28,sim_time=1450.00000
frame_calculation,0.003062,29,sim_time=1500.00000
frame_calculation,0.002569,30,sim_time=1550.00000
frame_calculation,0.002482,31,sim_time=1600.00000
