phase,seconds,frame,details
mesh_load,0.025091,,C:\Users\ericv\OneDrive\Documents\UNIF\Q6\Elements finis\projet\FEM-project\models\perf\plot_2d_small.msh;dim=2
system_assembly,0.716306,,nodes=268;elements=490;dim=2
vertical_air_transfer_prepare,0.000050,,enabled=False;attenuation=0.25;radius=0.0
initial_conditions,0.000070,,src_x=0.0;src_y=0.0;src_z=0.0;src_radius=0.05;src_temp=800.0
animation_figure,0.076305,,
frame_calculation,0.003356,0,sim_time=50.00000
frame_calculation,0.002653,1,sim_time=100.00000
frame_calculation,0.004191,2,sim_time=150.00000
frame_calculation,0.003204,3,sim_time=200.00000
frame_calculation,0.002427,4,sim_time=250.00000
frame_calculation,0.002326,5,sim_time=300.00000
frame_calculation,0.002289,6,sim_time=350.00000
frame_calculation,0.002303,7,sim_time=400.00000
frame_calculation,0.004113,8,sim_time=450.00000
frame_calculation,0.002495,9,sim_time=500.00000
frame_calculation,0.002330,10,sim_time=550.00000
frame_calculation,0.002310,11,sim_time=600.00000
frame_calculation,0.002294,12,sim_time=650.00000
frame_calculation,0.002296,13,sim_time=700.00000
frame_calculation,0.004796,14,sim_time=750.00000
frame_calculation,0.002479,15,sim_time=800.00000
frame_calculation,0.002371,16,sim_time=850.00000
frame_calculation,0.002396,17,sim_time=900.00000
frame_calculation,0.002294,18,sim_time=950.00000
frame_calculation,0.002275,19,sim_time=1000.00000
frame_calculation,0.004054,20,sim_time=1050.00000
frame_calculation,0.002617,21,sim_time=1100.00000
frame_calculation,0.002497,22,sim_time=1150.00000
frame_calculation,0.002448,23,sim_time=1200.00000
frame_calculation,0.002455,24,sim_time=1250.00000
frame_calculation,0.002639,25,sim_time=1300.00000
frame_calculation,0.002744,26,sim_time=1350.00000
frame_calculation,0.002421,27,sim_time=1400.00000
frame_calculation,0.002293,28,sim_time=1450.00000
frame_calculation,0.002306,29,sim_time=1500.00000
frame_calculation,0.002274,30,sim_time=1550.00000
frame_calculation,0.002289,31,sim_time=1600.00000
frame_calculation,0.002596,32,sim_time=1650.00000
frame_calculation,0.002499,33,sim_time=1700.00000
frame_calculation,0.002435,34,sim_time=1750.00000
frame_calculation,0.002290,35,sim_time=1800.00000
frame_calculation,0.002257,36,sim_time=1850.00000
frame_calculation,0.002257,37,sim_time=1900.00000
frame_calculation,0.002504,38,sim_time=1950.00000
frame_calculation,0.002497,39,sim_time=2000.00000
frame_calculation,0.002561,40,sim_time=2050.00000
frame_calculation,0.002396,41,sim_time=2100.00000
frame_calculation,0.002276,42,sim_time=2150.00000
frame_calculation,0.002266,43,sim_time=2200.00000
frame_calculation,0.002259,44,sim_time=2250.00000
frame_calculation,0.002710,45,sim_time=2300.00000
frame_calculation,0.002560,46,sim_time=2350.00000
frame_calculation,0.002558,47,sim_time=2400.00000
frame_calculation,0.002379,48,sim_time=2450.00000
frame_calculation,0.002277,49,sim_time=2500.00000
frame_calculation,0.002284,50,sim_time=2550.00000
frame_calculation,0.002886,51,sim_time=2600.00000
frame_calculation,0.002539,52,sim_time=2650.00000
frame_calculation,0.002411,53,sim_time=2700.00000
frame_calculation,0.002505,54,sim_time=2750.00000
frame_calculation,0.002323,55,sim_time=2800.00000
frame_calculation,0.002270,56,sim_time=2850.00000
frame_calculation,0.002280,57,sim_time=2900.00000
frame_calculation,0.003036,58,sim_time=2950.00000
frame_calculation,0.002346,59,sim_time=3000.00000
frame_calculation,0.002414,60,sim_time=3050.00000
frame_calculation,0.002579,61,sim_time=3100.00000
frame_calculation,0.002343,62,sim_time=3150.00000
frame_calculation,0.002398,63,sim_time=3200.00000
frame_calculation,0.003247,64,sim_time=3250.00000
frame_calculation,0.002541,65,sim_time=3300.00000
frame_calculation,0.002273,66,sim_time=3350.00000
frame_calculation,0.002490,67,sim_time=3400.00000
frame_calculation,0.002357,68,sim_time=3450.00000
frame_calculation,0.002258,69,sim_time=3500.00000
frame_calculation,0.004591,70,sim_time=3550.00000
frame_calculation,0.002738,71,sim_time=3600.00000
frame_calculation,0.002303,72,sim_time=3650.00000
frame_calculation,0.002946,73,sim_time=3700.00000
frame_calculation,0.002436,74,sim_time=3750.00000
frame_calculation,0.002331,75,sim_time=3800.00000
frame_calculation,0.003450,76,sim_time=3850.00000
frame_calculation,0.002367,77,sim_time=3900.00000
frame_calculation,0.002262,78,sim_time=3950.00000
frame_calculation,0.002537,79,sim_time=4000.00000
frame_calculation,0.002387,80,sim_time=4050.00000
frame_calculation,0.002253,81,sim_time=4100.00000
frame_calculation,0.002520,82,sim_time=4150.00000
frame_calculation,0.002364,83,sim_time=4200.00000
frame_calculation,0.002302,84,sim_time=4250.00000
frame_calculation,0.002257,85,sim_time=4300.00000
frame_calculation,0.002475,86,sim_time=4350.00000
frame_calculation,0.002460,87,sim_time=4400.00000
frame_calculation,0.002836,88,sim_time=4450.00000
frame_calculation,0.002869,89,sim_time=4500.00000
frame_calculation,0.002481,90,sim_time=4550.00000
frame_calculation,0.002281,91,sim_time=4600.00000
frame_calculation,0.002387,92,sim_time=4650.00000
frame_calculation,0.002482,93,sim_time=4700.00000
frame_calculation,0.002307,94,sim_time=4750.00000
frame_calculation,0.002583,95,sim_time=4800.00000
frame_calculation,0.002289,96,sim_time=4850.00000
frame_calculation,0.002278,97,sim_time=4900.00000
frame_calculation,0.002252,98,sim_time=4950.00000
frame_calculation,0.002352,99,sim_time=5000.00000
frame_calculation,0.002463,100,sim_time=5050.00000
frame_calculation,0.002495,101,sim_time=5100.00000
frame_calculation,0.002383,102,sim_time=5150.00000
frame_calculation,0.002260,103,sim_time=5200.00000
frame_calculation,0.002257,104,sim_time=5250.00000
frame_calculation,0.002243,105,sim_time=5300.00000
frame_calculation,0.002376,106,sim_time=5350.00000
frame_calculation,0.002477,107,sim_time=5400.00000
frame_calculation,0.003019,108,sim_time=5450.00000
frame_calculation,0.002451,109,sim_time=5500.00000
frame_calculation,0.002294,110,sim_time=5550.00000
frame_calculation,0.002343,111,sim_time=5600.00000
frame_calculation,0.002281,112,sim_time=5650.00000
frame_calculation,0.003300,113,sim_time=5700.00000
frame_calculation,0.003025,114,sim_time=5750.00000
frame_calculation,0.002330,115,sim_time=5800.00000
frame_calculation,0.002340,116,sim_time=5850.00000
frame_calculation,0.002274,117,sim_time=5900.00000
frame_calculation,0.002263,118,sim_time=5950.00000
frame_calculation,0.002312,119,sim_time=6000.00000
frame_calculation,0.002873,120,sim_time=6050.00000
frame_calculation,0.002640,121,sim_time=6100.00000
frame_calculation,0.002530,122,sim_time=6150.00000
frame_calculation,0.003311,123,sim_time=6200.00000
frame_calculation,0.003464,124,sim_time=6250.00000
frame_calculation,0.002594,125,sim_time=6300.00000
frame_calculation,0.002850,126,sim_time=6350.00000
frame_calculation,0.002336,127,sim_time=6400.00000
frame_calculation,0.002344,128,sim_time=6450.00000
frame_calculation,0.002281,129,sim_time=6500.00000
frame_calculation,0.002268,130,sim_time=6550.00000
frame_calculation,0.002257,131,sim_time=6600.00000
frame_calculation,0.002779,132,sim_time=6650.00000
frame_calculation,0.002528,133,sim_time=6700.00000
frame_calculation,0.002279,134,sim_time=6750.00000
frame_calculation,0.002267,135,sim_time=6800.00000
frame_calculation,0.002267,136,sim_time=6850.00000
frame_calculation,0.002279,137,sim_time=6900.00000
frame_calculation,0.002254,138,sim_time=6950.00000
frame_calculation,0.002772,139,sim_time=7000.00000
frame_calculation,0.002558,140,sim_time=7050.00000
frame_calculation,0.002280,141,sim_time=7100.00000
frame_calculation,0.002279,142,sim_time=7150.00000
frame_calculation,0.002262,143,sim_time=7200.00000
frame_calculation,0.002263,144,sim_time=7250.00000
frame_calculation,0.002265,145,sim_time=7300.00000
frame_calculation,0.004036,146,sim_time=7350.00000
frame_calculation,0.002441,147,sim_time=7400.00000
frame_calculation,0.002323,148,sim_time=7450.00000
frame_calculation,0.002281,149,sim_time=7500.00000
frame_calculation,0.002271,150,sim_time=7550.00000
frame_calculation,0.002347,151,sim_time=7600.00000
frame_calculation,0.002504,152,sim_time=7650.00000
frame_calculation,0.002547,153,sim_time=7700.00000
frame_calculation,0.002287,154,sim_time=7750.00000
frame_calculation,0.002288,155,sim_time=7800.00000
frame_calculation,0.002260,156,sim_time=7850.00000
frame_calculation,0.002257,157,sim_time=7900.00000
frame_calculation,0.002257,158,sim_time=7950.00000
frame_calculation,0.002755,159,sim_time=8000.00000
frame_calculation,0.002507,160,sim_time=8050.00000
frame_calculation,0.002300,161,sim_time=8100.00000
frame_calculation,0.002269,162,sim_time=8150.00000
frame_calculation,0.002262,163,sim_time=8200.00000
frame_calculation,0.002296,164,sim_time=8250.00000
frame_calculation,0.002457,165,sim_time=8300.00000
frame_calculation,0.002504,166,sim_time=8350.00000
frame_calculation,0.002515,167,sim_time=8400.00000
frame_calculation,0.002293,168,sim_time=8450.00000
frame_calculation,0.002311,169,sim_time=8500.00000
frame_calculation,0.002259,170,sim_time=8550.00000
frame_calculation,0.002259,171,sim_time=8600.00000
frame_calculation,0.002569,172,sim_time=8650.00000
frame_calculation,0.002451,173,sim_time=8700.00000
frame_calculation,0.002466,174,sim_time=8750.00000
frame_calculation,0.002284,175,sim_time=8800.00000
frame_calculation,0.002266,176,sim_time=8850.00000
frame_calculation,0.002258,177,sim_time=8900.00000
frame_calculation,0.002418,178,sim_time=8950.00000
frame_calculation,0.002459,179,sim_time=9000.00000
frame_calculation,0.002387,180,sim_time=9050.00000
frame_calculation,0.002480,181,sim_time=9100.00000
frame_calculation,0.002284,182,sim_time=9150.00000
frame_calculation,0.002255,183,sim_time=9200.00000
frame_calculation,0.002270,184,sim_time=9250.00000
frame_calculation,0.002412,185,sim_time=9300.00000
frame_calculation,0.002377,186,sim_time=9350.00000
frame_calculation,0.002388,187,sim_time=9400.00000
frame_calculation,0.002471,188,sim_time=9450.00000
frame_calculation,0.002302,189,sim_time=9500.00000
frame_calculation,0.002257,190,sim_time=9550.00000
frame_calculation,0.002286,191,sim_time=9600.00000
frame_calculation,0.003111,192,sim_time=9650.00000
frame_calculation,0.002461,193,sim_time=9700.00000
frame_calculation,0.002850,194,sim_time=9750.00000
frame_calculation,0.002541,195,sim_time=9800.00000
frame_calculation,0.002318,196,sim_time=9850.00000
frame_calculation,0.002358,197,sim_time=9900.00000
frame_calculation,0.003399,198,sim_time=9950.00000
frame_calculation,0.003658,199,sim_time=10000.00000
frame_calculation,0.003810,200,sim_time=10050.00000
frame_calculation,0.003186,201,sim_time=10100.00000
frame_calculation,0.003709,202,sim_time=10150.00000
frame_calculation,0.003221,203,sim_time=10200.00000
frame_calculation,0.003810,204,sim_time=10250.00000
frame_calculation,0.003413,205,sim_time=10300.00000
frame_calculation,0.003174,206,sim_time=10350.00000
frame_calculation,0.003868,207,sim_time=10400.00000
frame_calculation,0.005489,208,sim_time=10450.00000
frame_calculation,0.004560,209,sim_time=10500.00000
frame_calculation,0.003595,210,sim_time=10550.00000
frame_calculation,0.002815,211,sim_time=10600.00000
frame_calculation,0.003856,212,sim_time=10650.00000
frame_calculation,0.003608,213,sim_time=10700.00000
frame_calculation,0.002607,214,sim_time=10750.00000
frame_calculation,0.002808,215,sim_time=10800.00000
frame_calculation,0.003780,216,sim_time=10850.00000
frame_calculation,0.003727,217,sim_time=10900.00000
frame_calculation,0.003167,218,sim_time=10950.00000
frame_calculation,0.002870,219,sim_time=11000.00000
frame_calculation,0.003077,220,sim_time=11050.00000
frame_calculation,0.003750,221,sim_time=11100.00000
frame_calculation,0.003138,222,sim_time=11150.00000
frame_calculation,0.003102,223,sim_time=11200.00000
frame_calculation,0.003827,224,sim_time=11250.00000
frame_calculation,0.003993,225,sim_time=11300.00000
frame_calculation,0.003129,226,sim_time=11350.00000
frame_calculation,0.002514,227,sim_time=11400.00000
frame_calculation,0.002548,228,sim_time=11450.00000
frame_calculation,0.002666,229,sim_time=11500.00000
frame_calculation,0.002929,230,sim_time=11550.00000
frame_calculation,0.003085,231,sim_time=11600.00000
frame_calculation,0.002933,232,sim_time=11650.00000
frame_calculation,0.002751,233,sim_time=11700.00000
frame_calculation,0.003012,234,sim_time=11750.00000
frame_calculation,0.002797,235,sim_time=11800.00000
frame_calculation,0.002493,236,sim_time=11850.00000
frame_calculation,0.002317,237,sim_time=11900.00000
frame_calculation,0.002387,238,sim_time=11950.00000
frame_calculation,0.002401,239,sim_time=12000.00000
frame_calculation,0.002448,240,sim_time=12050.00000
frame_calculation,0.003051,241,sim_time=12100.00000
frame_calculation,0.002823,242,sim_time=12150.00000
frame_calculation,0.002583,243,sim_time=12200.00000
frame_calculation,0.002341,244,sim_time=12250.00000
frame_calculation,0.002270,245,sim_time=12300.00000
frame_calculation,0.002268,246,sim_time=12350.00000
frame_calculation,0.002303,247,sim_time=12400.00000
frame_calculation,0.003015,248,sim_time=12450.00000
frame_calculation,0.002337,249,sim_time=12500.00000
frame_calculation,0.002289,250,sim_time=12550.00000
frame_calculation,0.002285,251,sim_time=12600.00000
frame_calculation,0.002288,252,sim_time=12650.00000
frame_calculation,0.002273,253,sim_time=12700.00000
frame_calculation,0.002497,254,sim_time=12750.00000
frame_calculation,0.002593,255,sim_time=12800.00000
frame_calculation,0.002310,256,sim_time=12850.00000
frame_calculation,0.002365,257,sim_time=12900.00000
frame_calculation,0.002271,258,sim_time=12950.00000
frame_calculation,0.002461,259,sim_time=13000.00000
frame_calculation,0.002407,260,sim_time=13050.00000
frame_calculation,0.002655,261,sim_time=13100.00000
frame_calculation,0.002546,262,sim_time=13150.00000
frame_calculation,0.002379,263,sim_time=13200.00000
frame_calculation,0.002282,264,sim_time=13250.00000
frame_calculation,0.002259,265,sim_time=13300.00000
frame_calculation,0.002256,266,sim_time=13350.00000
frame_calculation,0.003533,267,sim_time=13400.00000
frame_calculation,0.002628,268,sim_time=13450.00000
frame_calculation,0.002315,269,sim_time=13500.00000
frame_calculation,0.002265,270,sim_time=13550.00000
frame_calculation,0.002277,271,sim_time=13600.00000
frame_calculation,0.002258,272,sim_time=13650.00000
frame_calculation,0.002426,273,sim_time=13700.00000
frame_calculation,0.002438,274,sim_time=13750.00000
frame_calculation,0.002402,275,sim_time=13800.00000
frame_calculation,0.002305,276,sim_time=13850.00000
frame_calculation,0.002269,277,sim_time=13900.00000
frame_calculation,0.002251,278,sim_time=13950.00000
frame_calculation,0.002248,279,sim_time=14000.00000
frame_calculation,0.002407,280,sim_time=14050.00000
frame_calculation,0.002373,281,sim_time=14100.00000
frame_calculation,0.002382,282,sim_time=14150.00000
frame_calculation,0.002478,283,sim_time=14200.00000
frame_calculation,0.004697,284,sim_time=14250.00000
frame_calculation,0.004502,285,sim_time=14300.00000
frame_calculation,0.002810,286,sim_time=14350.00000
frame_calculation,0.002598,287,sim_time=14400.00000
frame_calculation,0.002354,288,sim_time=14450.00000
frame_calculation,0.002270,289,sim_time=14500.00000
frame_calculation,0.002358,290,sim_time=14550.00000
frame_calculation,0.002436,291,sim_time=14600.00000
frame_calculation,0.002296,292,sim_time=14650.00000
frame_calculation,0.002287,293,sim_time=14700.00000
frame_calculation,0.002459,294,sim_time=14750.00000
frame_calculation,0.002294,295,sim_time=14800.00000
frame_calculation,0.002253,296,sim_time=14850.00000
frame_calculation,0.002301,297,sim_time=14900.00000
frame_calculation,0.002410,298,sim_time=14950.00000
frame_calculation,0.002287,299,sim_time=15000.00000
frame_calculation,0.002289,300,sim_time=15050.00000
frame_calculation,0.002422,301,sim_time=15100.00000
frame_calculation,0.002301,302,sim_time=15150.00000
frame_calculation,0.002283,303,sim_time=15200.00000
frame_calculation,0.002292,304,sim_time=15250.00000
frame_calculation,0.002496,305,sim_time=15300.00000
frame_calculation,0.002272,306,sim_time=15350.00000
frame_calculation,0.002283,307,sim_time=15400.00000
frame_calculation,0.002494,308,sim_time=15450.00000
frame_calculation,0.002344,309,sim_time=15500.00000
frame_calculation,0.002263,310,sim_time=15550.00000
frame_calculation,0.002472,311,sim_time=15600.00000
frame_calculation,0.002428,312,sim_time=15650.00000
frame_calculation,0.002265,313,sim_time=15700.00000
frame_calculation,0.002308,314,sim_time=15750.00000
frame_calculation,0.002359,315,sim_time=15800.00000
frame_calculation,0.002318,316,sim_time=15850.00000
frame_calculation,0.002279,317,sim_time=15900.00000
frame_calculation,0.002535,318,sim_time=15950.00000
frame_calculation,0.002294,319,sim_time=16000.00000
frame_calculation,0.002297,320,sim_time=16050.00000
frame_calculation,0.002256,321,sim_time=16100.00000
frame_calculation,0.002368,322,sim_time=16150.00000
frame_calculation,0.002369,323,sim_time=16200.00000
frame_calculation,0.002263,324,sim_time=16250.00000
frame_calculation,0.002574,325,sim_time=16300.00000
frame_calculation,0.002268,326,sim_time=16350.00000
frame_calculation,0.002246,327,sim_time=16400.00000
frame_calculation,0.002260,328,sim_time=16450.00000
frame_calculation,0.002495,329,sim_time=16500.00000
frame_calculation,0.002347,330,sim_time=16550.00000
frame_calculation,0.002443,331,sim_time=16600.00000
frame_calculation,0.002372,332,sim_time=16650.00000
frame_calculation,0.002252,333,sim_time=16700.00000
frame_calculation,0.002248,334,sim_time=16750.00000
frame_calculation,0.002240,335,sim_time=16800.00000
frame_calculation,0.002540,336,sim_time=16850.00000
frame_calculation,0.002401,337,sim_time=16900.00000
frame_calculation,0.002574,338,sim_time=16950.00000
frame_calculation,0.002309,339,sim_time=17000.00000
frame_calculation,0.002248,340,sim_time=17050.00000
frame_calculation,0.002248,341,sim_time=17100.00000
frame_calculation,0.002264,342,sim_time=17150.00000
frame_calculation,0.002564,343,sim_time=17200.00000
frame_calculation,0.002433,344,sim_time=17250.00000
frame_calculation,0.002414,345,sim_time=17300.00000
frame_calculation,0.002267,346,sim_time=17350.00000
frame_calculation,0.002249,347,sim_time=17400.00000
frame_calculation,0.002248,348,sim_time=17450.00000
frame_calculation,0.002266,349,sim_time=17500.00000
frame_calculation,0.002621,350,sim_time=17550.00000
frame_calculation,0.002623,351,sim_time=17600.00000
frame_calculation,0.002484,352,sim_time=17650.00000
frame_calculation,0.002292,353,sim_time=17700.00000
frame_calculation,0.002257,354,sim_time=17750.00000
frame_calculation,0.002260,355,sim_time=17800.00000
frame_calculation,0.002246,356,sim_time=17850.00000
frame_calculation,0.002545,357,sim_time=17900.00000
frame_calculation,0.002868,358,sim_time=17950.00000
frame_calculation,0.002325,359,sim_time=18000.00000
frame_calculation,0.002250,360,sim_time=18050.00000
frame_calculation,0.002263,361,sim_time=18100.00000
frame_calculation,0.002251,362,sim_time=18150.00000
frame_calculation,0.002288,363,sim_time=18200.00000
frame_calculation,0.002646,364,sim_time=18250.00000
frame_calculation,0.002413,365,sim_time=18300.00000
frame_calculation,0.002292,366,sim_time=18350.00000
frame_calculation,0.002261,367,sim_time=18400.00000
frame_calculation,0.002257,368,sim_time=18450.00000
frame_calculation,0.002282,369,sim_time=18500.00000
frame_calculation,0.002269,370,sim_time=18550.00000
frame_calculation,0.002760,371,sim_time=18600.00000
frame_calculation,0.002415,372,sim_time=18650.00000
frame_calculation,0.002266,373,sim_time=18700.00000
frame_calculation,0.002265,374,sim_time=18750.00000
frame_calculation,0.002269,375,sim_time=18800.00000
frame_calculation,0.002255,376,sim_time=18850.00000
frame_calculation,0.002257,377,sim_time=18900.00000
frame_calculation,0.003050,378,sim_time=18950.00000
frame_calculation,0.002360,379,sim_time=19000.00000
frame_calculation,0.002258,380,sim_time=19050.00000
frame_calculation,0.002254,381,sim_time=19100.00000
frame_calculation,0.002311,382,sim_time=19150.00000
frame_calculation,0.002288,383,sim_time=19200.00000
frame_calculation,0.002867,384,sim_time=19250.00000
frame_calculation,0.003238,385,sim_time=19300.00000
frame_calculation,0.002350,386,sim_time=19350.00000
frame_calculation,0.002308,387,sim_time=19400.00000
frame_calculation,0.002277,388,sim_time=19450.00000
frame_calculation,0.002270,389,sim_time=19500.00000
frame_calculation,0.002269,390,sim_time=19550.00000
frame_calculation,0.004063,391,sim_time=19600.00000
frame_calculation,0.002633,392,sim_time=19650.00000
frame_calculation,0.002309,393,sim_time=19700.00000
frame_calculation,0.002253,394,sim_time=19750.00000
frame_calculation,0.002279,395,sim_time=19800.00000
frame_calculation,0.002255,396,sim_time=19850.00000
frame_calculation,0.003199,397,sim_time=19900.00000
frame_calculation,0.003181,398,sim_time=19950.00000
frame_calculation,0.002346,399,sim_time=20000.00000
frame_calculation,0.002306,400,sim_time=20050.00000
frame_calculation,0.002267,401,sim_time=20100.00000
frame_calculation,0.002266,402,sim_time=20150.00000
frame_calculation,0.002596,403,sim_time=20200.00000
frame_calculation,0.003579,404,sim_time=20250.00000
frame_calculation,0.002379,405,sim_time=20300.00000
frame_calculation,0.002372,406,sim_time=20350.00000
frame_calculation,0.002278,407,sim_time=20400.00000
frame_calculation,0.002266,408,sim_time=20450.00000
frame_calculation,0.002527,409,sim_time=20500.00000
frame_calculation,0.004106,410,sim_time=20550.00000
frame_calculation,0.002422,411,sim_time=20600.00000
frame_calculation,0.002290,412,sim_time=20650.00000
frame_calculation,0.002285,413,sim_time=20700.00000
frame_calculation,0.002281,414,sim_time=20750.00000
frame_calculation,0.002648,415,sim_time=20800.00000
