phase,seconds,frame,details
mesh_load,0.028541,,C:\Users\ericv\OneDrive\Documents\UNIF\Q6\Elements finis\projet\FEM-project\models\perf\plot_2d_small.msh;dim=2
system_assembly,0.768385,,nodes=268;elements=490;dim=2
vertical_air_transfer_prepare,0.000054,,enabled=False;attenuation=0.25;radius=0.0
initial_conditions,0.000071,,src_x=0.0;src_y=0.0;src_z=0.0;src_radius=0.05;src_temp=800.0
animation_figure,0.087313,,
frame_calculation,0.004564,0,sim_time=50.00000
frame_calculation,0.003536,1,sim_time=100.00000
frame_calculation,0.002704,2,sim_time=150.00000
frame_calculation,0.002924,3,sim_time=200.00000
frame_calculation,0.002781,4,sim_time=250.00000
frame_calculation,0.003466,5,sim_time=300.00000
frame_calculation,0.003577,6,sim_time=350.00000
frame_calculation,0.002784,7,sim_time=400.00000
frame_calculation,0.002679,8,sim_time=450.00000
frame_calculation,0.002728,9,sim_time=500.00000
frame_calculation,0.002681,10,sim_time=550.00000
frame_calculation,0.003911,11,sim_time=600.00000
frame_calculation,0.002624,12,sim_time=650.00000
frame_calculation,0.002544,13,sim_time=700.00000
frame_calculation,0.003113,14,sim_time=750.00000
frame_calculation,0.003539,15,sim_time=800.00000
frame_calculation,0.003934,16,sim_time=850.00000
frame_calculation,0.002822,17,sim_time=900.00000
frame_calculation,0.002760,18,sim_time=950.00000
node_freeze_update,0.000000,,checked=268;frozen=241;thawed=0;frozen_total=241
frame_calculation,0.003235,19,sim_time=1000.00000
node_freeze_update,0.000000,,checked=29;frozen=2;thawed=2;frozen_total=241
frame_calculation,0.007864,20,sim_time=1050.00000
frame_calculation,0.011632,21,sim_time=1100.00000
frame_calculation,0.011561,22,sim_time=1150.00000
node_freeze_update,0.000000,,checked=28;frozen=1;thawed=1;frozen_total=241
frame_calculation,0.008829,23,sim_time=1200.00000
node_freeze_update,0.000000,,checked=28;frozen=1;thawed=1;frozen_total=241
element_activity_update,0.000000,,checked=490;frozen=490;reactivated=0;active=0
frame_calculation,0.007421,24,sim_time=1250.00000
element_activity_update,0.000000,,checked=2;frozen=0;reactivated=2;active=2
frame_calculation,0.008952,25,sim_time=1300.00000
frame_calculation,0.008971,26,sim_time=1350.00000
frame_calculation,0.009032,27,sim_time=1400.00000
frame_calculation,0.008627,28,sim_time=1450.00000
node_freeze_update,0.000000,,checked=28;frozen=1;thawed=1;frozen_total=241
frame_calculation,0.007345,29,sim_time=1500.00000
frame_calculation,0.007852,30,sim_time=1550.00000
frame_calculation,0.007409,31,sim_time=1600.00000
frame_calculation,0.007529,32,sim_time=1650.00000
frame_calculation,0.007389,33,sim_time=1700.00000
frame_calculation,0.007620,34,sim_time=1750.00000
frame_calculation,0.007329,35,sim_time=1800.00000
frame_calculation,0.007906,36,sim_time=1850.00000
frame_calculation,0.009658,37,sim_time=1900.00000
frame_calculation,0.008071,38,sim_time=1950.00000
frame_calculation,0.007117,39,sim_time=2000.00000
frame_calculation,0.007370,40,sim_time=2050.00000
frame_calculation,0.007128,41,sim_time=2100.00000
frame_calculation,0.008028,42,sim_time=2150.00000
frame_calculation,0.007234,43,sim_time=2200.00000
frame_calculation,0.010660,44,sim_time=2250.00000
frame_calculation,0.007231,45,sim_time=2300.00000
frame_calculation,0.008179,46,sim_time=2350.00000
frame_calculation,0.007168,47,sim_time=2400.00000
frame_calculation,0.007427,48,sim_time=2450.00000
element_activity_update,0.000000,,checked=2;frozen=2;reactivated=0;active=0
frame_calculation,0.007219,49,sim_time=2500.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007223,50,sim_time=2550.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007209,51,sim_time=2600.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007038,52,sim_time=2650.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007417,53,sim_time=2700.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007027,54,sim_time=2750.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007226,55,sim_time=2800.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007123,56,sim_time=2850.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.008663,57,sim_time=2900.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007254,58,sim_time=2950.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007398,59,sim_time=3000.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007320,60,sim_time=3050.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007306,61,sim_time=3100.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
