phase,seconds,frame,details
mesh_load,0.024050,,C:\Users\ericv\OneDrive\Documents\UNIF\Q6\Elements finis\projet\FEM-project\models\perf\plot_2d_small.msh;dim=2
system_assembly,0.576572,,nodes=268;elements=490;dim=2
vertical_air_transfer_prepare,0.000039,,enabled=False;attenuation=0.25;radius=0.0
initial_conditions,0.000063,,src_x=0.0;src_y=0.0;src_z=0.0;src_radius=0.05;src_temp=800.0
animation_figure,0.078445,,
frame_calculation,0.003142,0,sim_time=50.00000
frame_calculation,0.002755,1,sim_time=100.00000
frame_calculation,0.002447,2,sim_time=150.00000
frame_calculation,0.003060,3,sim_time=200.00000
frame_calculation,0.002318,4,sim_time=250.00000
frame_calculation,0.002223,5,sim_time=300.00000
frame_calculation,0.002132,6,sim_time=350.00000
frame_calculation,0.002114,7,sim_time=400.00000
frame_calculation,0.003245,8,sim_time=450.00000
frame_calculation,0.003235,9,sim_time=500.00000
frame_calculation,0.002287,10,sim_time=550.00000
frame_calculation,0.002127,11,sim_time=600.00000
frame_calculation,0.002105,12,sim_time=650.00000
frame_calculation,0.002120,13,sim_time=700.00000
frame_calculation,0.002981,14,sim_time=750.00000
frame_calculation,0.002612,15,sim_time=800.00000
frame_calculation,0.003375,16,sim_time=850.00000
frame_calculation,0.002265,17,sim_time=900.00000
frame_calculation,0.002154,18,sim_time=950.00000
frame_calculation,0.002113,19,sim_time=1000.00000
frame_calculation,0.002412,20,sim_time=1050.00000
frame_calculation,0.002267,21,sim_time=1100.00000
frame_calculation,0.002113,22,sim_time=1150.00000
frame_calculation,0.002352,23,sim_time=1200.00000
frame_calculation,0.002250,24,sim_time=1250.00000
frame_calculation,0.002116,25,sim_time=1300.00000
frame_calculation,0.002118,26,sim_time=1350.00000
frame_calculation,0.002405,27,sim_time=1400.00000
frame_calculation,0.002259,28,sim_time=1450.00000
frame_calculation,0.002103,29,sim_time=1500.00000
frame_calculation,0.002217,30,sim_time=1550.00000
frame_calculation,0.002385,31,sim_time=1600.00000
frame_calculation,0.002151,32,sim_time=1650.00000
frame_calculation,0.002278,33,sim_time=1700.00000
frame_calculation,0.002214,34,sim_time=1750.00000
frame_calculation,0.002180,35,sim_time=1800.00000
frame_calculation,0.002096,36,sim_time=1850.00000
frame_calculation,0.002093,37,sim_time=1900.00000
frame_calculation,0.002358,38,sim_time=1950.00000
frame_calculation,0.002217,39,sim_time=2000.00000
frame_calculation,0.002095,40,sim_time=2050.00000
frame_calculation,0.002087,41,sim_time=2100.00000
frame_calculation,0.002324,42,sim_time=2150.00000
frame_calculation,0.002102,43,sim_time=2200.00000
frame_calculation,0.002084,44,sim_time=2250.00000
frame_calculation,0.002206,45,sim_time=2300.00000
frame_calculation,0.002379,46,sim_time=2350.00000
frame_calculation,0.002146,47,sim_time=2400.00000
frame_calculation,0.002090,48,sim_time=2450.00000
frame_calculation,0.002391,49,sim_time=2500.00000
frame_calculation,0.002142,50,sim_time=2550.00000
frame_calculation,0.002086,51,sim_time=2600.00000
frame_calculation,0.002090,52,sim_time=2650.00000
frame_calculation,0.002306,53,sim_time=2700.00000
frame_calculation,0.002275,54,sim_time=2750.00000
frame_calculation,0.002154,55,sim_time=2800.00000
frame_calculation,0.002317,56,sim_time=2850.00000
frame_calculation,0.002220,57,sim_time=2900.00000
frame_calculation,0.002116,58,sim_time=2950.00000
frame_calculation,0.002115,59,sim_time=3000.00000
frame_calculation,0.002201,60,sim_time=3050.00000
frame_calculation,0.002915,61,sim_time=3100.00000
frame_calculation,0.002314,62,sim_time=3150.00000
frame_calculation,0.002460,63,sim_time=3200.00000
