mesh_id,mesh_label,mesh_dim,mesh_category,version_order,version_id,version_label,phase,best_seconds,speedup_vs_main_sans_rien_same_phase,gain_pct_vs_main_sans_rien_same_phase
2d_peu_noeuds,2D peu de noeuds,2,peu,1,main_sans_rien,Main sans optimisation,animation_figure,0.078254,1.000000,0.00
2d_peu_noeuds,2D peu de noeuds,2,peu,1,main_sans_rien,Main sans optimisation,frame_calculation,2.980070,1.000000,0.00
2d_peu_noeuds,2D peu de noeuds,2,peu,1,main_sans_rien,Main sans optimisation,headless_calculation_total,3.001548,1.000000,0.00
2d_peu_noeuds,2D peu de noeuds,2,peu,1,main_sans_rien,Main sans optimisation,initial_conditions,0.000074,1.000000,0.00
2d_peu_noeuds,2D peu de noeuds,2,peu,1,main_sans_rien,Main sans optimisation,mesh_load,0.025219,1.000000,0.00
2d_peu_noeuds,2D peu de noeuds,2,peu,1,main_sans_rien,Main sans optimisation,system_assembly,0.709484,1.000000,0.00
2d_peu_noeuds,2D peu de noeuds,2,peu,1,main_sans_rien,Main sans optimisation,vertical_air_transfer_prepare,0.000066,1.000000,0.00
2d_peu_noeuds,2D peu de noeuds,2,peu,2,fancy_reassembling,Fancy reassembling,animation_figure,0.081105,0.964848,-3.64
2d_peu_noeuds,2D peu de noeuds,2,peu,2,fancy_reassembling,Fancy reassembling,element_activity_update,0.000000,0.000000,0.00
2d_peu_noeuds,2D peu de noeuds,2,peu,2,fancy_reassembling,Fancy reassembling,frame_calculation,2.996036,0.994671,-0.54
2d_peu_noeuds,2D peu de noeuds,2,peu,2,fancy_reassembling,Fancy reassembling,headless_calculation_total,3.002157,0.999797,-0.02
2d_peu_noeuds,2D peu de noeuds,2,peu,2,fancy_reassembling,Fancy reassembling,initial_conditions,0.000070,1.057143,5.41
2d_peu_noeuds,2D peu de noeuds,2,peu,2,fancy_reassembling,Fancy reassembling,mesh_load,0.023502,1.073058,6.81
2d_peu_noeuds,2D peu de noeuds,2,peu,2,fancy_reassembling,Fancy reassembling,node_freeze_update,0.000000,0.000000,0.00
2d_peu_noeuds,2D peu de noeuds,2,peu,2,fancy_reassembling,Fancy reassembling,system_assembly,0.711188,0.997604,-0.24
2d_peu_noeuds,2D peu de noeuds,2,peu,2,fancy_reassembling,Fancy reassembling,vertical_air_transfer_prepare,0.000049,1.346939,25.76
2d_peu_noeuds,2D peu de noeuds,2,peu,3,calcul_matriciel,Calcul matriciel,animation_figure,0.076508,1.022821,2.23
2d_peu_noeuds,2D peu de noeuds,2,peu,3,calcul_matriciel,Calcul matriciel,frame_calculation,2.980164,0.999968,-0.00
2d_peu_noeuds,2D peu de noeuds,2,peu,3,calcul_matriciel,Calcul matriciel,headless_calculation_total,3.001821,0.999909,-0.01
2d_peu_noeuds,2D peu de noeuds,2,peu,3,calcul_matriciel,Calcul matriciel,initial_conditions,0.000068,1.088235,8.11
