phase,seconds,frame,details
mesh_load,0.030174,,C:\Users\ericv\OneDrive\Documents\UNIF\Q6\Elements finis\projet\FEM-project\models\perf\plot_2d_small.msh;dim=2
system_assembly,2.660942,,nodes=268;elements=490;dim=2
structural_fun_prepare,0.000340,,enabled=False;radius=0.0;load_factor=1.0
vertical_air_transfer_prepare,0.000038,,enabled=False;attenuation=0.25;radius=0.0
horizontal_air_transfer_prepare,0.000016,,enabled=False;attenuation=0.35;radius=1.0;power_fraction=0.35
initial_conditions,0.000070,,src_x=0.3;src_y=0.0;src_z=0.0;src_radius=0.05;src_temp=800.0;source_time=0.0
frame_calculation,0.003413,0,sim_time=50.00000
frame_calculation,0.002762,1,sim_time=100.00000
frame_calculation,0.003193,2,sim_time=150.00000
frame_calculation,0.005205,3,sim_time=200.00000
frame_calculation,0.002683,4,sim_time=250.00000
frame_calculation,0.002716,5,sim_time=300.00000
frame_calculation,0.002415,6,sim_time=350.00000
frame_calculation,0.004230,7,sim_time=400.00000
frame_calculation,0.003034,8,sim_time=450.00000
frame_calculation,0.002972,9,sim_time=500.00000
frame_calculation,0.002659,10,sim_time=550.00000
frame_calculation,0.002496,11,sim_time=600.00000
frame_calculation,0.002786,12,sim_time=650.00000
frame_calculation,0.003271,13,sim_time=700.00000
frame_calculation,0.003511,14,sim_time=750.00000
frame_calculation,0.004344,15,sim_time=800.00000
frame_calculation,0.003125,16,sim_time=850.00000
frame_calculation,0.002453,17,sim_time=900.00000
frame_calculation,0.004263,18,sim_time=950.00000
node_freeze_update,0.000000,,checked=268;frozen=241;thawed=0;frozen_total=241
frame_calculation,0.002975,19,sim_time=1000.00000
node_freeze_update,0.000000,,checked=30;frozen=3;thawed=3;frozen_total=241
frame_calculation,0.007893,20,sim_time=1050.00000
node_freeze_update,0.000000,,checked=28;frozen=1;thawed=1;frozen_total=241
frame_calculation,0.010397,21,sim_time=1100.00000
node_freeze_update,0.000000,,checked=28;frozen=1;thawed=1;frozen_total=241
frame_calculation,0.007913,22,sim_time=1150.00000
node_freeze_update,0.000000,,checked=28;frozen=1;thawed=1;frozen_total=241
frame_calculation,0.010564,23,sim_time=1200.00000
node_freeze_update,0.000000,,checked=28;frozen=1;thawed=1;frozen_total=241
element_activity_update,0.000000,,checked=490;frozen=490;reactivated=0;active=0
frame_calculation,0.009261,24,sim_time=1250.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.008830,25,sim_time=1300.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.009945,26,sim_time=1350.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.009143,27,sim_time=1400.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.012310,28,sim_time=1450.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.011139,29,sim_time=1500.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.009991,30,sim_time=1550.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.014239,31,sim_time=1600.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.008511,32,sim_time=1650.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.008643,33,sim_time=1700.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.008024,34,sim_time=1750.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.008103,35,sim_time=1800.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.009000,36,sim_time=1850.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.008366,37,sim_time=1900.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.009327,38,sim_time=1950.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007445,39,sim_time=2000.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.010013,40,sim_time=2050.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.008406,41,sim_time=2100.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.009879,42,sim_time=2150.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.008551,43,sim_time=2200.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.008875,44,sim_time=2250.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007370,45,sim_time=2300.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.008310,46,sim_time=2350.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007280,47,sim_time=2400.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.008405,48,sim_time=2450.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007167,49,sim_time=2500.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007581,50,sim_time=2550.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007068,51,sim_time=2600.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007312,52,sim_time=2650.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007103,53,sim_time=2700.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007606,54,sim_time=2750.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007125,55,sim_time=2800.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.007403,56,sim_time=2850.00000
element_activity_update,0.000000,,checked=0;frozen=490;reactivated=0;active=0
frame_calculation,0.009598,57,sim_time=2900.00000
