phase,seconds,frame,details
mesh_load,0.093403,,C:\Users\ericv\OneDrive\Documents\UNIF\Q6\Elements finis\projet\FEM-project\models\perf\plot_3d_small.msh;dim=3
system_assembly,3.582452,,nodes=469;elements=1097;dim=3
vertical_air_transfer_prepare,0.117566,,enabled=True;attenuation=0.25;radius=0.0
initial_conditions,0.000067,,src_x=2.0;src_y=2.0;src_z=0.5;src_radius=1.0;src_temp=800.0
element_burn_initial,0.000000,,changed_elements=97
animation_figure,0.216586,,
frame_calculation,0.006314,0,sim_time=100.00000
element_burn_update,0.000000,,changed_elements=23
material_burn_delta_update,0.061391,,changed_elements=23
frame_calculation,0.070222,1,sim_time=200.00000
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.027831,,changed_elements=6
frame_calculation,0.037644,2,sim_time=300.00000
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.021601,,changed_elements=5
frame_calculation,0.030763,3,sim_time=400.00000
element_burn_update,0.000000,,changed_elements=3
material_burn_delta_update,0.018577,,changed_elements=3
frame_calculation,0.028364,4,sim_time=500.00000
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.019871,,changed_elements=4
frame_calculation,0.030999,5,sim_time=600.00000
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.019312,,changed_elements=4
frame_calculation,0.029137,6,sim_time=700.00000
element_burn_update,0.000000,,changed_elements=3
material_burn_delta_update,0.016890,,changed_elements=3
frame_calculation,0.026695,7,sim_time=800.00000
element_burn_update,0.000000,,changed_elements=1
material_burn_delta_update,0.013165,,changed_elements=1
frame_calculation,0.023250,8,sim_time=900.00000
frame_calculation,0.010040,9,sim_time=1000.00000
frame_calculation,0.010322,10,sim_time=1100.00000
frame_calculation,0.011195,11,sim_time=1200.00000
element_burn_update,0.000000,,changed_elements=1
material_burn_delta_update,0.013409,,changed_elements=1
frame_calculation,0.023781,12,sim_time=1300.00000
frame_calculation,0.011767,13,sim_time=1400.00000
element_burn_update,0.000000,,changed_elements=1
material_burn_delta_update,0.013441,,changed_elements=1
frame_calculation,0.023923,14,sim_time=1500.00000
element_burn_update,0.000000,,changed_elements=1
material_burn_delta_update,0.013592,,changed_elements=1
frame_calculation,0.025038,15,sim_time=1600.00000
element_burn_update,0.000000,,changed_elements=2
material_burn_delta_update,0.015426,,changed_elements=2
frame_calculation,0.026721,16,sim_time=1700.00000
element_burn_update,0.000000,,changed_elements=1
material_burn_delta_update,0.016904,,changed_elements=1
frame_calculation,0.028302,17,sim_time=1800.00000
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.021700,,changed_elements=4
frame_calculation,0.030484,18,sim_time=1900.00000
frame_calculation,0.008189,19,sim_time=2000.00000
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.028789,,changed_elements=5
frame_calculation,0.037965,20,sim_time=2100.00000
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.030053,,changed_elements=6
frame_calculation,0.037573,21,sim_time=2200.00000
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.028351,,changed_elements=7
frame_calculation,0.035500,22,sim_time=2300.00000
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.026984,,changed_elements=7
frame_calculation,0.035396,23,sim_time=2400.00000
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.026111,,changed_elements=7
frame_calculation,0.034414,24,sim_time=2500.00000
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.020655,,changed_elements=5
frame_calculation,0.028683,25,sim_time=2600.00000
element_burn_update,0.000000,,changed_elements=3
material_burn_delta_update,0.018304,,changed_elements=3
frame_calculation,0.026691,26,sim_time=2700.00000
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.023849,,changed_elements=5
frame_calculation,0.032081,27,sim_time=2800.00000
element_burn_update,0.000000,,changed_elements=14
material_burn_delta_update,0.035954,,changed_elements=14
frame_calculation,0.044497,28,sim_time=2900.00000
element_burn_update,0.000000,,changed_elements=1
material_burn_delta_update,0.014671,,changed_elements=1
frame_calculation,0.024567,29,sim_time=3000.00000
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.019639,,changed_elements=4
frame_calculation,0.029253,30,sim_time=3100.00000
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.025103,,changed_elements=6
frame_calculation,0.036443,31,sim_time=3200.00000
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.024591,,changed_elements=6
frame_calculation,0.034646,32,sim_time=3300.00000
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.022102,,changed_elements=4
frame_calculation,0.032760,33,sim_time=3400.00000
element_burn_update,0.000000,,changed_elements=8
material_burn_delta_update,0.029760,,changed_elements=8
frame_calculation,0.040611,34,sim_time=3500.00000
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.021563,,changed_elements=5
frame_calculation,0.034048,35,sim_time=3600.00000
element_burn_update,0.000000,,changed_elements=3
material_burn_delta_update,0.018077,,changed_elements=3
frame_calculation,0.031084,36,sim_time=3700.00000
element_burn_update,0.000000,,changed_elements=10
material_burn_delta_update,0.033495,,changed_elements=10
frame_calculation,0.047100,37,sim_time=3800.00000
element_burn_update,0.000000,,changed_elements=8
material_burn_delta_update,0.029630,,changed_elements=8
frame_calculation,0.047386,38,sim_time=3900.00000
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.027837,,changed_elements=6
frame_calculation,0.039925,39,sim_time=4000.00000
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.020198,,changed_elements=4
frame_calculation,0.033678,40,sim_time=4100.00000
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.024471,,changed_elements=6
frame_calculation,0.037544,41,sim_time=4200.00000
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.026837,,changed_elements=7
frame_calculation,0.039460,42,sim_time=4300.00000
element_burn_update,0.000000,,changed_elements=3
material_burn_delta_update,0.018746,,changed_elements=3
frame_calculation,0.031262,43,sim_time=4400.00000
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.024844,,changed_elements=6
frame_calculation,0.036599,44,sim_time=4500.00000
element_burn_update,0.000000,,changed_elements=2
material_burn_delta_update,0.016186,,changed_elements=2
frame_calculation,0.029047,45,sim_time=4600.00000
element_burn_update,0.000000,,changed_elements=11
material_burn_delta_update,0.033859,,changed_elements=11
frame_calculation,0.045892,46,sim_time=4700.00000
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.023424,,changed_elements=5
frame_calculation,0.034599,47,sim_time=4800.00000
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.020865,,changed_elements=5
frame_calculation,0.033456,48,sim_time=4900.00000
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.024983,,changed_elements=7
frame_calculation,0.037266,49,sim_time=5000.00000
element_burn_update,0.000000,,changed_elements=2
material_burn_delta_update,0.015131,,changed_elements=2
frame_calculation,0.027155,50,sim_time=5100.00000
element_burn_update,0.000000,,changed_elements=11
