phase,seconds,frame,details
mesh_load,0.095306,,C:\Users\ericv\OneDrive\Documents\UNIF\Q6\Elements finis\projet\FEM-project\models\perf\plot_3d_small.msh;dim=3
system_assembly,3.637725,,nodes=469;elements=1097;dim=3
vertical_air_transfer_prepare,0.153616,,enabled=True;attenuation=0.25;radius=0.0
initial_conditions,0.000068,,src_x=2.0;src_y=2.0;src_z=0.5;src_radius=1.0;src_temp=800.0
element_burn_initial,0.000000,,changed_elements=97
animation_figure,0.154849,,
frame_calculation,0.008712,0,sim_time=100.00000
element_burn_update,0.000000,,changed_elements=23
material_burn_delta_update,0.069918,,changed_elements=23
frame_calculation,0.080131,1,sim_time=200.00000
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.027762,,changed_elements=6
frame_calculation,0.038250,2,sim_time=300.00000
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.024638,,changed_elements=5
frame_calculation,0.035073,3,sim_time=400.00000
element_burn_update,0.000000,,changed_elements=3
material_burn_delta_update,0.017453,,changed_elements=3
frame_calculation,0.027142,4,sim_time=500.00000
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.019521,,changed_elements=4
frame_calculation,0.029411,5,sim_time=600.00000
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.018826,,changed_elements=4
frame_calculation,0.028966,6,sim_time=700.00000
element_burn_update,0.000000,,changed_elements=3
material_burn_delta_update,0.016837,,changed_elements=3
frame_calculation,0.026877,7,sim_time=800.00000
element_burn_update,0.000000,,changed_elements=1
material_burn_delta_update,0.013339,,changed_elements=1
frame_calculation,0.023996,8,sim_time=900.00000
frame_calculation,0.010606,9,sim_time=1000.00000
frame_calculation,0.010708,10,sim_time=1100.00000
frame_calculation,0.010796,11,sim_time=1200.00000
element_burn_update,0.000000,,changed_elements=1
material_burn_delta_update,0.013868,,changed_elements=1
frame_calculation,0.024436,12,sim_time=1300.00000
frame_calculation,0.011443,13,sim_time=1400.00000
element_burn_update,0.000000,,changed_elements=1
material_burn_delta_update,0.013901,,changed_elements=1
frame_calculation,0.024948,14,sim_time=1500.00000
element_burn_update,0.000000,,changed_elements=1
